new entry "Zone_BreathWeapon_Acid"
type "SpellData"
data "SpellType" "Zone"
data "Cooldown" "OncePerCombat"
data "SurfaceType" "Sentinel"
data "SurfaceLifetime" "0"
data "SurfaceGrowStep" "5"
data "SurfaceGrowInterval" "10"
data "SpellRoll" " not SavingThrow(Ability.Dexterity, CalculateSpellDC(Ability.Constitution, context.Source))"
data "SpellSuccess" "DealDamage(LevelMapValue(BreathWeapon), Acid,Magical)"
data "SpellFail" "DealDamage(LevelMapValue(BreathWeapon)/2, Acid,Magical)"
data "Icon" "Action_Dragonborn_BreathWeapon_Acid"
data "DisplayName" "h9e4609a1g5a52g0022g322bg5e6076443a57;1"
data "Description" "h65dabd6dgf948gbc66g2406gc74ab03fa5ab;1"
data "TooltipDamageList" "DealDamage(LevelMapValue(BreathWeapon),Acid)"
data "TooltipAttackSave" "Dexterity"
data "TooltipOnSave" "961753f4-c345-4bc4-b408-1d5b87a5ab0c"
data "PrepareSound" "Spell_Prepare_Damage_BreathWeapon_Acid"
data "PrepareLoopSound" "Spell_Loop_Damage_BreathWeapon_Acid"
data "CastSound" "Spell_Cast_Damage_BreathWeapon_Acid"
data "CastTextEvent" "Cast"
data "Shape" "Square"
data "Range" "5"
data "Base" "2"
data "UseCosts" "BonusActionPoint:1;"
data "SpellAnimation" "ce0aa392-7d13-45a2-8a59-e6786830265d,,;,,;bd10df60-20c2-4711-a1b0-cef708fa0f11,bd10df60-20c2-4711-a1b0-cef708fa0f11,bd10df60-20c2-4711-a1b0-cef708fa0f11;af7ebc22-2ad5-4a39-ad4f-4e93e45f88c1,,;4354d3c1-ffc2-4da2-9840-d8c5f0932cbf,,;,,;c6951776-8830-4d97-9286-35899fe08d0b,,;,,;,,"
data "SpellFlags" "CanAreaDamageEvade"
data "PrepareEffect" "813f3837-a027-49f6-8ab8-06917d2f80d3"
data "CastEffect" "dbb69154-0834-4ae7-b438-b831ba7cab45"
data "TargetEffect" "fa3eaf23-5a9a-47a0-bc24-eb03d85d4d7a"
data "DamageType" "Acid"

